code,loggdp1960,loggdp2000,meantemp,edu1960,region
AFG,,,,16.884081,South Asia
AGO,,7.709125,22.94133,9.7857904,Sub-Saharan Africa
ALB,,8.5783691,,90.202202,Europe & Central Asia
ARE,,11.617286,,43.782822,Middle East & North Africa
ARG,8.0746279,9.570282,17.1,56.459492,Latin America & Caribbean
ARM,,8.2424049,,,Europe & Central Asia
AUS,9.6677256,10.579791,20.9,,East Asia & Pacific
AUT,9.2314091,10.546304,,,Europe & Central Asia
AZE,,7.9431896,,,Europe & Central Asia
BDI,6.6267076,6.6171813,,2.6043,Sub-Saharan Africa
BEL,9.2712545,10.426419,,88.911987,Europe & Central Asia
BEN,7.4843764,7.4356165,,12.41925,Sub-Saharan Africa
BFA,6.8849649,7.2810702,28.1,2.48434,Sub-Saharan Africa
BGD,7.3545246,7.3266268,25.686211,18.459499,South Asia
BGR,,9.2059507,,89.709351,Europe & Central Asia
BHR,,10.231969,,58.995522,Middle East & North Africa
BHS,,10.482757,,95.906578,Latin America & Caribbean
BIH,,8.7934494,,,Europe & Central Asia
BLR,,9.1995506,,97.546097,Europe & Central Asia
BLZ,,8.7842312,,54.219372,Latin America & Caribbean
BOL,7.5800314,8.0909185,21.5,,Latin America & Caribbean
BRA,7.7565589,9.1548615,23.700001,,Latin America & Caribbean
BRB,9.1433029,10.068907,,89.242737,Latin America & Caribbean
BTN,,8.3958998,,,South Asia
BWA,6.2408652,9.3114662,,18.322981,Sub-Saharan Africa
CAF,7.3461685,6.9450645,,11.76704,Sub-Saharan Africa
CAN,9.6417313,10.645391,-.2,87.052979,North America
CHE,10.054022,10.766231,,94.051102,Europe & Central Asia
CHL,8.552206,9.3668079,13.4,63.873798,Latin America & Caribbean
CHN,6.9019132,8.342802,,43.029251,East Asia & Pacific
CIV,7.4877186,7.7236414,26.0907,17.71121,Sub-Saharan Africa
CMR,7.3592138,7.8910689,24.433331,17.280439,Sub-Saharan Africa
COD,8.0009575,6.3001823,23.354549,24.80378,Sub-Saharan Africa
COG,7.6292467,7.9754639,24.751511,58.610592,Sub-Saharan Africa
COL,8.2624454,8.956809,22.5,39.917961,Latin America & Caribbean
COM,7.622231,7.9899287,,,Sub-Saharan Africa
CPV,7.1370764,8.2914248,,7.4508901,Sub-Saharan Africa
CRI,8.5535936,9.2605829,25.1,46.956619,Latin America & Caribbean
CUB,,,,77.581268,Latin America & Caribbean
CYP,8.3557348,10.224401,,68.364197,Europe & Central Asia
CZE,,10.021324,,94.643517,Europe & Central Asia
DEU,9.3199863,10.526491,,,Europe & Central Asia
DJI,,7.9738083,,7.94344,Middle East & North Africa
DNK,9.5155277,10.529531,,102.2387,Europe & Central Asia
