iso	year	xiso	xsoccer
"CHN"	1995	204561.57	124.8546
"CHN"	1996	220143.98	124.7611
"CHN"	1997	237423.23	125.8373
"CHN"	1998	235064.7	131.3461
"CHN"	1999	262247.47	145.1159
"CHN"	2000	315202.38	148.3772
"CHN"	2001	325302.09	153.1954
"CHN"	2002	393264.44	210.398
"CHN"	2003	505813.39	216.5999
"CHN"	2004	663893.71	255.7979
"CHN"	2005	836332.21	273.0013
"CHN"	2006	1029175.8	346.7722
"CHN"	2007	1265240.6	387.5883
"CHN"	2008	1461507	480.65
"CHN"	2009	1236366.3	428.3748
"CHN"	2010	1608678.2	567.832
"CHN"	2011	1922037.7	541.7712
"CHN"	2012	2052320.6	603.3782
"CHN"	2013	2196140.9	663.6718
"CHN"	2014	2320957.4	687.8623
"CHN"	2015	2250804.8	643.6292
"CHN"	2016	2095048.1	586.0654
"CHN"	2017	2260014.1	532.6834
"CHN"	2018	2472629	552.3343
"CHN"	2019	2460438.1	530.4865
"CHN"	2020	2575774.6	450.4278
"DEU"	1995	520626.99	15.80627
"DEU"	1996	521745.96	19.55601
"DEU"	1997	510148.52	19.12401
"DEU"	1998	541329.33	21.36899
"DEU"	1999	540715.33	19.45002
"DEU"	2000	549321.6	18.90222
"DEU"	2001	571420.36	18.35135
"DEU"	2002	615637.61	23.76743
"DEU"	2003	748165.51	26.58155
"DEU"	2004	911555	33.24471
"DEU"	2005	977911.85	33.29793
"DEU"	2006	1121353.7	50.08537
"DEU"	2007	1328570.2	39.35027
"DEU"	2008	1457153.7	73.13005
"DEU"	2009	1125395.7	46.58424
"DEU"	2010	1267601.2	128.9215
"DEU"	2011	1483691.3	101.3376
"DEU"	2012	1409995	64.33925
"DEU"	2013	1450847.8	72.84326
"DEU"	2014	1498138.5	92.3847
"DEU"	2015	1328460.8	67.83373
"DEU"	2016	1337599.2	93.42294
"DEU"	2017	1446574.5	78.19362
"DEU"	2018	1562873.9	80.61017
"DEU"	2019	1492818.7	75.59981
"DEU"	2020	1385811.6	70.65913
"IND"	1995	31802.323	25.54458
"IND"	1996	34437.22	27.2358
"IND"	1997	34744.734	25.55745
"IND"	1998	33384.28	25.87062
"IND"	1999	36462.218	18.04017
"IND"	2000	42377.663	15.82785
"IND"	2001	43921.012	13.87381
"IND"	2002	49827.642	18.15247
"IND"	2003	59671.778	16.766
"IND"	2004	76533.976	19.93055
"IND"	2005	100056.52	21.8887
"IND"	2006	121413.97	25.0285
"IND"	2007	148586.49	22.01896
"IND"	2008	183689.14	27.69802
"IND"	2009	170585.31	21.78887
"IND"	2010	221637.42	32.49477
"IND"	2011	287947.92	26.75353
"IND"	2012	285188.41	27.71527
"IND"	2013	334583.19	31.53809
"IND"	2014	312264.02	35.7814
"IND"	2015	263215.24	26.59143
"IND"	2016	258808.39	16.95071
"IND"	2017	292671.21	15.88581
"IND"	2018	320512.19	21.78664
"IND"	2019	321432.47	19.35062
"IND"	2020	272016.01	13.43879
"PAK"	1995	6319.1904	124.42
"PAK"	1996	6758.8142	144.5205
"PAK"	1997	6440.3697	144.2216
"PAK"	1998	6595.0891	163.3369
"PAK"	1999	6447.525	110.7743
"PAK"	2000	7433.861	118.6761
"PAK"	2001	7812.9795	105.7435
"PAK"	2002	7903.4542	136.157
"PAK"	2003	11580.694	136.7188
"PAK"	2004	13136.341	159.4322
