companyid	industry	year	tariff	inputtariff	ln_tfp	fdi
1	"2692"	1997	.3777778	.0918826	.1855307	
1	"2692"	1998	.3666667	.096832	.1446408	
1	"2692"	1999	.3611111	.1037314	.1583269	
1	"2692"	2000	.3277778	.1050515	.1895497	
1	"2692"	2001	.3277778	.1029997	.1786779	
2	"3120"	1989	.7602739	.3807743	.0790927	0
2	"3120"	1990	.5994493	.3244039	.0651427	0
2	"3120"	1991	.7527215	.3342354	.1258405	0
2	"3120"	1992	.4305025	.2400059	.121314	0
2	"3120"	1993	.66581	.32391	.107664	1
2	"3120"	1994	.4459441	.2292042	.2859749	.9
2	"3120"	1995	.3018648	.1807839	.3323323	.8
2	"3120"	1996	.2903846	.1473795	.3164881	.7
2	"3120"	1997	.228718	.1207117	.3276096	.7
2	"3120"	1998	.2210256	.1220183	.3502938	.7
2	"3120"	1999	.2618803	.1348306	.4288383	.7
2	"3120"	2000	.2556177	.1291355	.4835296	.7
2	"3120"	2001	.2465579	.1275231	.4811851	.7
3	"2913"	1989	.7984481	.3611076	-.1219142	0
3	"2913"	1990	.5967475	.2994688	-.2035415	0
3	"2913"	1991	.7046131	.3010046	-.1619287	0
3	"2913"	1992	.4262224	.2218852	-.0565767	0
3	"2913"	1993	.5939732	.2847488	-.1148105	.9496403
3	"2913"	1994	.3714286	.1965921	-.1075289	.8597122
3	"2913"	1995	.2991072	.165488	-.0057556	.7697842
3	"2913"	1996	.2723214	.1281416	.0814767	.6798561
3	"2913"	1997	.2089286	.1063211	.1480492	.6798561
3	"2913"	1998	.1979592	.1072178	.0914644	.6798561
3	"2913"	1999	.2470663	.1231473	.1336909	.6798561
3	"2913"	2000	.269898	.1191695	.183225	.6798561
3	"2913"	2001	.2716837	.1188341	.1091127	.6798561
4	"2520"	1995	.4953125	.1866716	.567064	.6127907
4	"2520"	1996	.428125	.1546578	.5898858	.7418604
4	"2520"	1997	.334375	.1236293	.5418363	.7418604
4	"2520"	1998	.334375	.1252032	.2901814	.7418604
5	"3511"	1999	.3535714	.1398462	.4832575	
5	"3511"	2000	.3023809	.1422418	.4320955	
5	"3511"	2001	.2952381	.1423131	.437362	
6	"2731"	1995	.4804569	.2191644	-.0751889	.8368089
6	"2731"	1996	.2943147	.1470512	.1845057	.7800948
6	"2731"	1997	.2898477	.128744	.2738581	.7800948
6	"2731"	1998	.2915229	.1314719	.1223208	.7800948
6	"2731"	1999	.3393401	.1517126	.1645637	.7800948
6	"2731"	2000	.3393401	.1515179	.0007599	.7800948
6	"2731"	2001	.3393401	.1508612	-.2185642	.7800948
7	"2610"	1999	.3931818	.1187696	-.0553736	
7	"2610"	2000	.3454546	.1153826	.0249397	
7	"2610"	2001	.3448864	.1146305	-.0990142	
8	"2423"	1993	.85	.3168643	.4241224	1
8	"2423"	1994	.65	.2320013	.4354857	1
8	"2423"	1995	.5	.175625	.3456042	1
8	"2423"	1996	.3971014	.1379501	.3949794	1
8	"2423"	1997	.2978261	.105755	.4395997	1
8	"2423"	1998	.2978261	.1072172	.4431801	1
9	"3000"	1994	.65	.171315	.3121705	.9
