countrycode	country	pop1960	hc1960	cgdpo1960	cn1960	pop2000	hc2000	cgdpo2000	cn2000	region
"AGO"	"Angola"					16.395473	1.296941	37817	343557.9	"Sub-Saharan Africa"
"ALB"	"Albania"					3.129243	2.801147	15943	64886.51	"Europe & Central Asia"
"ARE"	"United Arab Emirates"					3.134062	2.610784	357051	1563042	"Middle East & North Africa"
"ARG"	"Argentina"	20.545674	1.953866	65001	107963	36.870787	2.657196	514539	1958924	"Latin America & Caribbean"
"ARM"	"Armenia"					3.069591	3.098649	11371	51764.68	"Europe & Central Asia"
"AUS"	"Australia"	10.470019	2.746758	163815	744405.7	18.991431	3.538635	744585	3387999	"East Asia & Pacific"
"AUT"	"Austria"	7.093828	2.403941	71811	176051.7	8.069276	3.117029	309128	1281770	"Europe & Central Asia"
"BDI"	"Burundi"	2.7811595	1.095495	1920	5961.864	6.378871	1.206393	4491	11405.49	"Sub-Saharan Africa"
"BEL"	"Belgium"	9.1133825	2.307354	94903	493083.3	10.282033	2.973627	364391	1495075	"Europe & Central Asia"
"BEN"	"Benin"	2.2845561	1.0652	3687	3038.913	6.865951	1.410265	11353	38568.08	"Sub-Saharan Africa"
"BFA"	"Burkina Faso"	5.1601256	1.007038	4866	2532.529	11.607942	1.069451	16332	27605.42	"Sub-Saharan Africa"
"BGD"	"Bangladesh"	52.080069	1.129226	84071	56732.07	127.65785	1.639889	201182	430243.7	"South Asia"
"BGR"	"Bulgaria"					7.997957	2.901846	75373	117474.4	"Europe & Central Asia"
"BHR"	"Bahrain"					.664611	2.341901	19716	58856.77	"Middle East & North Africa"
"BLZ"	"Belize"					.247315	2.953633	1596	2111.909	"Latin America & Caribbean"
"BOL"	"Bolivia (Plurinational State of)"	3.5429416	1.480564	6355	15974.66	8.418264	2.490611	26625	58579.64	"Latin America & Caribbean"
"BRA"	"Brazil"	71.266944	1.3961	160815	398822.3	174.79034	2.045166	1614590	5364543	"Latin America & Caribbean"
"BRB"	"Barbados"	.23247523	1.876967	1878	2609.623	.271515	2.681473	5975	6705.878	"Latin America & Caribbean"
"BRN"	"Brunei Darussalam"					.333165	2.611324	19275	81377.29	"East Asia & Pacific"
"BWA"	"Botswana"	.53387578	1.190572	268	655.4342	1.643334	2.460947	17975	42511.02	"Sub-Saharan Africa"
"CAF"	"Central African Republic"	1.4450285	1.07182	2040	5884.207	3.640427	1.397581	3658	9240.62	"Sub-Saharan Africa"
"CAN"	"Canada"	17.951266	2.62957	268950	935613.6	30.588383	3.504107	1274289	4508144	"North America"
"CHE"	"Switzerland"	5.2626244	2.992251	130308	575924.4	7.143761	3.528448	357293	1508755	"Europe & Central Asia"
"CHL"	"Chile"	7.9210149	1.942408	41185	81192.88	15.342353	2.786652	182183	652358	"Latin America & Caribbean"
"CHN"	"China"	656.36935	1.230373	668069	823732.8	1290.5508	2.313537	5517329	1.42e+07	"East Asia & Pacific"
"CIV"	"Côte d'Ivoire"	3.2703582	1.038387	5807	2360.619	16.454668	1.427201	38127	57416.3	"Sub-Saharan Africa"
"CMR"	"Cameroon"	5.436187	1.131742	7994	12699.33	15.513945	1.738681	41319	93426.01	"Sub-Saharan Africa"
"COD"	"D.R. of the Congo"	15.260715	1.070743	43226	55621.59	47.105826	1.553157	25224	242364.2	"Sub-Saharan Africa"
"COG"	"Congo"	1.0451228	1.08026	1150	2412.675	3.127411	1.977056	8971	18572.23	"Sub-Saharan Africa"
"COL"	"Colombia"	15.990251	1.581335	61454	342670.7	39.629968	2.162984	304057	1260394	"Latin America & Caribbean"
"CRI"	"Costa Rica"	1.3284689	1.639641	6490	11994.89	3.962372	2.424169	40298	93654.12	"Latin America & Caribbean"
"CYP"	"Cyprus"	.57208448	1.784631	2364	26407.2	.6936	2.550263	19038	96133.3	"Europe & Central Asia"
"CZE"	"Czech Republic"					10.289373	3.573689	220586	1421192	"Europe & Central Asia"
"DEU"	"Germany"	73.196345	2.628439	814019	3471944	81.400882	3.566319	3026260	1.22e+07	"Europe & Central Asia"
"DNK"	"Denmark"	4.5833084	2.571897	60326	221992.9	5.341194	3.301178	202640	739702.9	"Europe & Central Asia"
"DOM"	"Dominican Republic"	3.2877227	1.380766	10366	30189.7	8.471321	2.15882	70769	154343	"Latin America & Caribbean"
