iso	hs2	year	x	x_wd	description	product_name
"BWA"	1	2000	235090	9799775232	"Animals; live"	"LIVE ANIMALS"
"BWA"	1	2023	45727526	29942562816	"Animals; live"	"LIVE ANIMALS"
"BWA"	2	2000	51610108	42352873472	"Meat and edible meat offal"	"MEAT AND EDIBLE MEAT OFFAL"
"BWA"	2	2023	23733917	178474467328	"Meat and edible meat offal"	"MEAT AND EDIBLE MEAT OFFAL"
"BWA"	3	2000	1534	42123816960	"Fish and crustaceans, molluscs and other aquatic invertebrates"	"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES"
"BWA"	3	2023	2381250	144747659264	"Fish and crustaceans, molluscs and other aquatic invertebrates"	"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES"
"BWA"	4	2000	77585	32110569472	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included"	"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED"
"BWA"	4	2023	182639	131974438912	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included"	"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED"
"BWA"	5	2000	2707	3737520384	"Animal originated products; not elsewhere specified or included"	"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED"
"BWA"	5	2023	15564	12793801728	"Animal originated products; not elsewhere specified or included"	"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED"
"BWA"	6	2000	1058	9562261504	"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage"	"LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE"
"BWA"	6	2023	161857	30788509696	"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage"	"LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE"
"BWA"	7	2000	137067	20660887552	"Vegetables and certain roots and tubers; edible"	"EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS"
"BWA"	7	2023	4618147	102485286912	"Vegetables and certain roots and tubers; edible"	"EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS"
