year	iso	hs2	xusa	dtariff_zaf	product_name
2023	"RoW"	1	4.492e+09	.2998794	"LIVE ANIMALS"
2023	"ZAF"	1	628480.3	.2998794	"LIVE ANIMALS"
2023	"ZAF"	3	54875995	.2695801	"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES"
2023	"RoW"	3	2.192e+10	.2695801	"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES"
2023	"RoW"	5	1.067e+09	.211838	"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED"
2023	"ZAF"	5	1665776.5	.211838	"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED"
2023	"ZAF"	6	5711330.5	.0463006	"LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE"
2023	"RoW"	6	4.152e+09	.0463006	"LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE"
2023	"ZAF"	7	580860.44	.3815568	"EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS"
2023	"RoW"	7	1.623e+10	.3815568	"EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS"
2023	"ZAF"	8	2.267e+08	.008914	"EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUIT OR MELONS"
2023	"RoW"	8	2.004e+10	.008914	"EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUIT OR MELONS"
2023	"ZAF"	9	6377694.6	.1295705	"COFFEE, TEA, MATÉ AND SPICES"
2023	"RoW"	9	1.128e+10	.1295705	"COFFEE, TEA, MATÉ AND SPICES"
2023	"ZAF"	10	3370797.2	.148613	"CEREALS"
2023	"RoW"	10	4.303e+09	.148613	"CEREALS"
2023	"ZAF"	11	1083193.2	.2906313	"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
2023	"RoW"	11	3.172e+09	.2906313	"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
2023	"ZAF"	12	13181528	.1585621	"OIL SEEDS AND OLEAGINOUS FRUITS; MISCELLANEOUS GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER"
