year	iso_o	iso_d	value	gdp_d	dist	border	comlang	comleg
2019	"GRC"	"ABW"	.155907		9457.369	0	0	1
2019	"GRC"	"AFG"	.544115	1.93e+07	3981.455	0	0	1
2019	"GRC"	"AGO"	2.126154	8.88e+07	5457.884	0	0	1
2019	"GRC"	"AIA"			8482.408	0	0	0
2019	"GRC"	"ALB"	641.0717	1.53e+07	451.416	1	0	1
2019	"GRC"	"AND"	.176529	3154058	1915.178	0	0	1
2019	"GRC"	"ANT"						
2019	"GRC"	"ARE"	283.6589	4.21e+08	3332.015	0	0	0
2019	"GRC"	"ARG"	5.046507	4.45e+08	11772.04	0	0	1
2019	"GRC"	"ARM"	15.1773	1.37e+07	1829.196	0	0	1
2019	"GRC"	"ASM"						0
2019	"GRC"	"ATA"	11.71024					0
2019	"GRC"	"ATF"						0
2019	"GRC"	"ATG"		1661963	8453.683	0	0	0
2019	"GRC"	"AUS"	210.9505	1.40e+09	14845.6	0	0	0
2019	"GRC"	"AUT"	326.5883	4.45e+08	1266.512	0	0	0
2019	"GRC"	"AZE"	9.241795	4.80e+07	2190.056	0	0	1
2019	"GRC"	"BDI"	.253988	3012335	4681.722	0	0	1
2019	"GRC"	"BEL"	531.9138	5.33e+08	2050.843	0	0	1
2019	"GRC"	"BEN"	2.531525	1.44e+07	4021.487	0	0	1
2019	"GRC"	"BES"	.000604					0
2019	"GRC"	"BFA"	3.418159	1.60e+07	3871.087	0	0	1
2019	"GRC"	"BGD"	63.55673	3.03e+08	6454.572	0	0	0
2019	"GRC"	"BGR"	1746.437	6.86e+07	526.368	1	0	0
2019	"GRC"	"BHR"	11.70181	3.86e+07	2871.511	0	0	0
2019	"GRC"	"BHS"	59.63814	1.36e+07	9182.491	0	0	0
2019	"GRC"	"BIH"	72.43737	2.02e+07	802.3	0	0	0
2019	"GRC"	"BLR"	13.86466	6.31e+07	1737.371	0	0	0
2019	"GRC"	"BLZ"	1.796485	1879614	10612.14	0	0	0
2019	"GRC"	"BMU"	7.651081	7484113	7718.934	0	0	0
2019	"GRC"	"BOL"	1.266732	4.09e+07	11156.85	0	0	1
2019	"GRC"	"BRA"	150.6927	1.84e+09	9513.084	0	0	1
2019	"GRC"	"BRB"	11.6243	5209000	8520.968	0	0	0
2019	"GRC"	"BRN"	.37826	1.35e+07	9787.544	0	0	0
2019	"GRC"	"BTN"	.001813	2530547	6201.081	0	0	0
