countrycode	country	region	pop1950	hc1950	cgdpo1950	cn1950	pop1951	hc1951	cgdpo1951	cn1951	pop1952	hc1952	cgdpo1952	cn1952	pop1953	hc1953	cgdpo1953	cn1953	pop1954	hc1954	cgdpo1954	cn1954	pop1955	hc1955	cgdpo1955	cn1955	pop1956	hc1956	cgdpo1956	cn1956	pop1957	hc1957	cgdpo1957	cn1957	pop1958	hc1958	cgdpo1958	cn1958	pop1959	hc1959	cgdpo1959	cn1959	pop1960	hc1960	cgdpo1960	cn1960	pop1961	hc1961	cgdpo1961	cn1961	pop1962	hc1962	cgdpo1962	cn1962	pop1963	hc1963	cgdpo1963	cn1963	pop1964	hc1964	cgdpo1964	cn1964	pop1965	hc1965	cgdpo1965	cn1965	pop1966	hc1966	cgdpo1966	cn1966	pop1967	hc1967	cgdpo1967	cn1967	pop1968	hc1968	cgdpo1968	cn1968	pop1969	hc1969	cgdpo1969	cn1969	pop1970	hc1970	cgdpo1970	cn1970	pop1971	hc1971	cgdpo1971	cn1971	pop1972	hc1972	cgdpo1972	cn1972	pop1973	hc1973	cgdpo1973	cn1973	pop1974	hc1974	cgdpo1974	cn1974	pop1975	hc1975	cgdpo1975	cn1975	pop1976	hc1976	cgdpo1976	cn1976	pop1977	hc1977	cgdpo1977	cn1977	pop1978	hc1978	cgdpo1978	cn1978	pop1979	hc1979	cgdpo1979	cn1979	pop1980	hc1980	cgdpo1980	cn1980	pop1981	hc1981	cgdpo1981	cn1981	pop1982	hc1982	cgdpo1982	cn1982	pop1983	hc1983	cgdpo1983	cn1983	pop1984	hc1984	cgdpo1984	cn1984	pop1985	hc1985	cgdpo1985	cn1985	pop1986	hc1986	cgdpo1986	cn1986	pop1987	hc1987	cgdpo1987	cn1987	pop1988	hc1988	cgdpo1988	cn1988	pop1989	hc1989	cgdpo1989	cn1989	pop1990	hc1990	cgdpo1990	cn1990	pop1991	hc1991	cgdpo1991	cn1991	pop1992	hc1992	cgdpo1992	cn1992	pop1993	hc1993	cgdpo1993	cn1993	pop1994	hc1994	cgdpo1994	cn1994	pop1995	hc1995	cgdpo1995	cn1995	pop1996	hc1996	cgdpo1996	cn1996	pop1997	hc1997	cgdpo1997	cn1997	pop1998	hc1998	cgdpo1998	cn1998	pop1999	hc1999	cgdpo1999	cn1999	pop2000	hc2000	cgdpo2000	cn2000	pop2001	hc2001	cgdpo2001	cn2001	pop2002	hc2002	cgdpo2002	cn2002	pop2003	hc2003	cgdpo2003	cn2003	pop2004	hc2004	cgdpo2004	cn2004	pop2005	hc2005	cgdpo2005	cn2005	pop2006	hc2006	cgdpo2006	cn2006	pop2007	hc2007	cgdpo2007	cn2007	pop2008	hc2008	cgdpo2008	cn2008	pop2009	hc2009	cgdpo2009	cn2009	pop2010	hc2010	cgdpo2010	cn2010	pop2011	hc2011	cgdpo2011	cn2011	pop2012	hc2012	cgdpo2012	cn2012	pop2013	hc2013	cgdpo2013	cn2013	pop2014	hc2014	cgdpo2014	cn2014	pop2015	hc2015	cgdpo2015	cn2015	pop2016	hc2016	cgdpo2016	cn2016	pop2017	hc2017	cgdpo2017	cn2017	pop2018	hc2018	cgdpo2018	cn2018	pop2019	hc2019	cgdpo2019	cn2019
"AGO"	"Angola"	"Sub-Saharan Africa"																																																																																	5.890365	1.015686	28823	117665.4	6.040777	1.018196	30987	124875.6	6.248552	1.020712	30737	131892.5	6.496962	1.023234	33386	139471.7	6.76138	1.025762	34559	147591.7	7.024	1.028297	32459	154500	7.279509	1.030838	31391	160158.8	7.533735	1.033385	32863	166377.5	7.790707	1.035939	29550	171251.3	8.058067	1.038498	30551	176410	8.341289	1.041064	31178	180757.3	8.640446	1.050381	30806	186040.4	8.95295	1.059781	31218	192321.4	9.278096	1.069264	31164	195526.1	9.614754	1.078833	33838	199768.9	9.961997	1.088488	35776	202318.2	10.320111	1.098228	31471	203324.1	10.68925	1.108056	35512	205178.7	11.06805	1.117972	33438	205934.5	11.454777	1.127977	35472	205976.7	11.848386	1.138071	37988	205150.4	12.248901	1.15304	33017	211975.3	12.657366	1.168206	42754	228045.6	13.075049	1.183572	35172	238812.8	13.503747	1.199139	36823	248751.5	13.945206	1.214912	32026	262873.3	14.400719	1.230892	39733	286898.1	14.87157	1.247082	40691	301459.9	15.359601	1.263485	43200	325978.3	15.866869	1.280103	42868	342108.8	16.395473	1.296941	37817	343557.9	16.945753	1.308486	39915	345280.3	17.519417	1.320135	46788	348801.6	18.121479	1.331887	50811	356889.3	18.758145	1.343743	62211	368675.8	19.433602	1.355706	82367	383938.6	20.149901	1.367774	107026	413600.4	20.905363	1.37995	119522	475123.8	21.695634	1.392235	145000	581048.7	22.514281	1.404629	115162	731489	23.356246	1.417133	153241	906812.8	24.220661	1.424196	199033	1046118	25.107931	1.431295	221672	1107735	26.015781	1.438429	228185	1103819	26.941779	1.445598	243642	1219780	27.884381	1.452803	224334	1204098	28.842489	1.460044	214634	1149589	29.816766	1.467321	230151	1351656	30.809787	1.474635	233298	1360817	31.825295	1.481984	223289	1371321
"ALB"	"Albania"	"Europe & Central Asia"																																																																																	2.150707	1.558792	6225	24195.67	2.202189	1.586793	6456	25478.5	2.254056	1.615296	6704	26841.97	2.30629	1.644312	6939	28242.49	2.358846	1.673849	7272	29784.93	2.411732	1.703917	7568	31313.83	2.464983	1.739009	7819	32858.25	2.518685	1.773482	8156	34542.08	2.57285	1.808639	8501	36206.11	2.627505	1.844493	8729	38115.27	2.68269	1.881057	9261	39936.04	2.737026	1.950622	9633	42014.68	2.790275	2.02276	9688	44387.79	2.844871	2.097565	10018	46400.07	2.90414	2.175137	10085	48571.45	2.969672	2.255578	10213	50552.81	3.044212	2.30544	10698	52593.05	3.124894	2.356405	10874	54594.54	3.200977	2.408496	10672	56584.94	3.257925	2.461739	11568	58894.53	3.286073	2.516159	11355	61056.9	3.280395	2.515733	10167	59704.4	3.245886	2.515308	9042	58528.25	3.195199	2.514883	10469	58332.2	3.146519	2.514457	11898	58954.85	3.112936	2.514032	12922	59727.85	3.0987	2.581189	14240	60936.04	3.099752	2.634504	13343	61219.61	3.110682	2.68892	14821	62256.12	3.122697	2.74446	15897	62443.05	3.129243	2.801147	15943	64886.51	3.129704	2.81509	16646	67135.78	3.126187	2.829102	17107	69969.48	3.118023	2.843183	17991	73819.27	3.104892	2.857335	18592	78298.45	3.08681	2.871557	19932	83766.8	3.063021	2.878032	21642	108180.1	3.033998	2.884521	23265	118847.4	3.002678	2.891026	25638	132814.7	2.973048	2.897545	27827	147522.8	2.948023	2.904078	30864	163120.4	2.928592	2.910693	31104	173394.3	2.914096	2.917346	31867	163361.4	2.90379	2.924037	30497	170890.9	2.896305	2.930766	31699	211204.4	2.890513	2.937533	33466	209133.1	2.886438	2.944339	33651	219219.5	2.884169	2.951184	34975	217175.8	2.88274	2.958068	35407	224225	2.880917	2.964992	36288	229818.3
"ARE"	"United Arab Emirates"	"Middle East & North Africa"																																																																																	.234514	1.376651	67417	292893.6	.277471	1.398154	77599	305163.9	.330974	1.419993	73025	323810.2	.394624	1.442173	84736	336189.5	.467451	1.464699	88221	345186.1	.548301	1.487577	112466	381531.3	.637922	1.51269	135036	425213.3	.735344	1.538226	170992	488762.8	.835508	1.564194	167346	563039.7	.931749	1.5906	204455	637315.9	1.019509	1.617453	322842	706333.6	1.09661	1.656284	310733	772732.4	1.164806	1.696048	286307	835798.2	1.228459	1.729926	262076	893719.3	1.293971	1.761138	263888	950095.6	1.366164	1.792913	248581	995125.5	1.44638	1.835169	208218	1035986	1.533536	1.878421	180626	1065331	1.627066	1.922693	203610	1096201	1.725681	1.968007	235481	1130938	1.828432	2.01439	276105	1163435	1.937153	2.074725	256077	1197705	2.052891	2.136868	266765	1246696	2.173139	2.200872	215265	1269189	2.294385	2.266793	226226	1300253	2.41509	2.334688	246747	1335225	2.539126	2.392025	259840	1373823	2.671362	2.450769	276841	1418473	2.813214	2.510956	268252	1468511	2.966034	2.568484	291834	1516082	3.134062	2.610784	357051	1563042	3.302719	2.628686	365178	1614372	3.478777	2.646711	372775	1671886	3.711932	2.664859	403820	1741852	4.06857	2.683132	438193	1815872	4.588225	2.70153	505686	1909511	5.300174	2.704703	589832	2014161	6.168838	2.70788	637630	2174955	7.089487	2.71106	690638	2332290	7.917372	2.714244	589839	2493886	8.549988	2.717433	596480	2619715	8.946777	2.720643	702652	2741502	9.141596	2.723864	740764	2612143	9.19791	2.727095	727748	2564190	9.214175	2.730336	762556	3567263	9.2629	2.733587	697860	4088714	9.36098	2.736849	666253	4157004	9.487203	2.74012	629801	4287271	9.630959	2.743402	630553	4396409	9.770529	2.746695	635333	4510360
"ARG"	"Argentina"	"Latin America & Caribbean"	17.091824	1.816503	50512	59449.37	17.457578	1.830769	51700	65330.94	17.815967	1.845147	47280	69985.56	18.168618	1.859638	50379	74549.84	18.517168	1.874243	52633	78962.32	18.863245	1.888963	56271	83983.25	19.205763	1.901768	57370	88195.98	19.543634	1.914661	60172	91419.38	19.878488	1.927641	64714	96986.05	20.211958	1.940709	60582	100411.4	20.545674	1.953866	65001	107963	20.879106	1.964928	67340	116128.5	21.21117	1.976053	68889	122319.7	21.542655	1.98724	66452	126199.8	21.87436	1.998491	69476	132449.8	22.207077	2.009806	77956	138598.1	22.534461	2.022713	79724	144098.5	22.855981	2.035703	82713	149583.1	23.181156	2.048777	85227	155984	23.519509	2.061934	93201	165282.3	23.880561	2.075176	95677	175525.1	24.259561	2.096463	98181	186537.2	24.653175	2.117969	99529	196171.4	25.056478	2.139695	104678	204491.3	25.462302	2.161644	110070	213876.8	25.865776	2.183818	108461	222502.6	26.264681	2.196906	108489	229548.1	26.661398	2.210073	115876	242400	27.061047	2.223318	113831	251840.1	27.471036	2.236643	121297	264545.3	27.896528	2.250048	122182	277379.3	28.338515	2.283164	123074	288232	28.794548	2.316768	129375	300059.5	29.262047	2.350867	140820	315382.4	29.737093	2.385467	149841	336801.5	30.216279	2.420576	146998	363683.5	30.698964	2.441888	161987	400195.2	31.184415	2.463388	171734	450024.8	31.668949	2.485077	183153	514488.9	32.148134	2.506957	176769	593162.8	32.618651	2.52903	199903	688641.8	33.079	2.552568	233581	820000.6	33.529326	2.570974	276399	1005502	33.970111	2.58706	316010	1246332	34.402672	2.603246	368029	1529540	34.82817	2.619534	412710	1785510	35.246374	2.627024	531039	1927902	35.657429	2.634535	549191	1980086	36.063459	2.642067	548851	2011836	36.467218	2.649621	518102	1998675	36.870787	2.657196	514539	1958924	37.275652	2.683003	484168	1908898	37.681749	2.70906	416046	1804633	38.087868	2.73537	448489	1784050	38.491972	2.761936	489746	1797718	38.892931	2.78876	536324	1847660	39.289878	2.796975	585043	1943605	39.684295	2.805215	647640	2122918	40.08016	2.813478	700604	2376898	40.482788	2.821766	669053	2614004	40.895752	2.830078	768478	2876207	41.3205	2.858542	868765	3099234	41.755196	2.887292	882439	3156029	42.19603	2.916332	885113	3166598	42.637511	2.945663	864304	3204577	43.075416	2.975289	904271	3234960	43.50846	3.005213	902697	3183678	43.93714	3.035439	1022513	3316644	44.36115	3.065968	1022236	3361087	44.780677	3.096804	978559	3374819
"ARM"	"Armenia"	"Europe & Central Asia"																																																																																																																																																																	3.538171	2.948581	23834	58440.27	3.505258	2.962983	21639	60260.04	3.442817	2.977456	12519	59635.79	3.363108	2.991999	11996	58694.57	3.283667	3.006614	9322	58528.97	3.217348	3.0213	9693	58139.17	3.168221	3.036613	10589	57963.19	3.133089	3.052005	11072	57377.8	3.108687	3.067474	10115	56175.67	3.089022	3.083022	11175	54096.86	3.069591	3.098649	11371	51764.68	3.050687	3.098452	12032	49573.98	3.033978	3.098256	13082	48076.31	3.017932	3.098059	14890	47382.8	3.00072	3.097862	15876	47319.32	2.981269	3.097666	17664	48414.01	2.958307	3.100374	20132	50119.39	2.932618	3.103083	22887	51722.71	2.907618	3.105796	24783	53598.27	2.888092	3.10851	23117	53848.51	2.877319	3.111228	25331	54532.49	2.876538	3.113957	27900	55731.42	2.884234	3.116692	32366	61172.04	2.897588	3.119432	32282	66889.35	2.912409	3.122178	30983	94606.45	2.925553	3.12493	32383	80520.23	2.936143	3.127688	33158	87297.31	2.944791	3.130451	38222	95323.91	2.951745	3.13322	40192	97055.13	2.957731	3.135995	43796	98945.87
"AUS"	"Australia"	"East Asia & Pacific"	8.3541062	2.667302	114696	488582.4	8.5999226	2.674344	110977	525233.5	8.7824298	2.681403	110427	536686.6	8.9508923	2.688482	124582	557550.4	9.1591481	2.69558	133413	586374.9	9.3744543	2.702696	138950	615937.7	9.6003186	2.711452	140938	637356.8	9.8145069	2.720236	141741	658734.6	10.019332	2.729048	153544	687579.1	10.238066	2.737889	163422	718960.1	10.470019	2.746758	163815	744405.7	10.710053	2.768153	167788	760936.6	10.908266	2.789714	176919	788224.3	11.116948	2.811442	190073	821048.8	11.336045	2.833341	199226	863141.2	11.559446	2.855409	201511	896798.4	11.777408	2.87765	216166	931355.6	11.996869	2.900064	226230	970226.4	12.228672	2.922652	243945	1012569	12.509311	2.945416	262454	1064786	12.793034	2.968358	273622	1116206	13.033133	2.991993	284739	1161894	13.244171	3.015816	293663	1208341	13.431794	3.039829	306832	1255666	13.60557	3.064034	297450	1284885	13.773288	3.08843	304034	1312047	13.935731	3.113022	316928	1346796	14.092548	3.137809	321379	1385537	14.249401	3.162793	336176	1431094	14.413	3.187977	347887	1484590	14.588405	3.21336	360796	1535867	14.777243	3.232605	376394	1602208	14.979205	3.251965	368876	1648038	15.194641	3.271441	391281	1689567	15.423166	3.291033	404926	1742347	15.663663	3.310743	420608	1795769	15.917572	3.330571	429661	1849092	16.183168	3.350517	464407	1923073	16.452255	3.370583	492095	2025910	16.713989	3.39077	508774	2141520	16.960597	3.411077	507317	2247379	17.18924	3.423623	501759	2368301	17.402173	3.436215	534908	2515180	17.603205	3.448854	547497	2680930	17.798529	3.461539	570466	2862219	17.993074	3.474271	596965	3020165	18.189277	3.487049	625794	3139764	18.387214	3.499875	657848	3236537	18.587021	3.512748	684062	3337077	18.788186	3.525668	722422	3443202	18.991431	3.538635	744585	3387999	19.194672	3.527512	768421	3346541	19.401368	3.516423	793477	3318803	19.624166	3.50537	825010	3457222	19.879649	3.494351	855562	3613359	20.17854	3.483366	912796	3796032	20.526303	3.472417	931948	3904559	20.916344	3.461501	954916	4011203	21.332282	3.45062	1001651	4103279	21.750851	3.439774	1010319	4165241	22.154679	3.428961	1097912	4241993	22.538001	3.442167	1162431	4348664	22.903948	3.455424	1151871	4862428	23.254913	3.468733	1197636	5402774	23.596424	3.482092	1197184	6004096	23.932502	3.495503	1160150	5897908	24.262712	3.508966	1240311	6006132	24.58462	3.522481	1291582	5693318	24.898152	3.536047	1350340	5795477	25.203198	3.549666	1355143	5899094
"AUT"	"Austria"	"Europe & Central Asia"	6.9807514	2.55264	41518	124693.7	6.9811046	2.537036	43585	131125.9	6.9733751	2.521527	45119	134161.5	6.9781173	2.506113	47730	134720.9	6.9858938	2.490793	51001	137733	6.992614	2.475566	55802	144769.1	6.9981241	2.461072	59771	150143.8	7.0117137	2.446663	62840	155974.7	7.0333534	2.432339	65802	161176.1	7.0605037	2.418098	67823	166653.3	7.093828	2.403941	71811	176051.7	7.1329455	2.426982	76145	185864.7	7.1767976	2.450243	79229	194055.8	7.2230466	2.473728	82432	201935.8	7.2713528	2.497438	86282	213113.4	7.3187505	2.521375	89255	222430.6	7.3702644	2.545542	94214	235490.8	7.4255581	2.566682	97730	247181.2	7.4642158	2.583219	102357	258694	7.4900366	2.599863	107561	272342.1	7.516239	2.616614	114422	289522.3	7.55034	2.633699	120624	310010.2	7.581117	2.650897	127842	331518.1	7.607065	2.668206	133109	353166.3	7.62629	2.685629	135194	373988.5	7.637689	2.703165	136563	392269.3	7.640749	2.720816	139917	409228.3	7.636576	2.738582	145612	426833.8	7.627759	2.756464	144919	439898	7.617884	2.774463	149722	456838.8	7.609752	2.79258	149389	476008.6	7.604513	2.809375	148456	508274.6	7.602181	2.826271	150490	554122.6	7.603102	2.843269	154210	613216.9	7.607293	2.860369	153026	680575.8	7.614868	2.877572	157509	734954	7.625393	2.894878	164320	771044.3	7.639352	2.912288	170613	813302.3	7.65884	2.929803	182175	865317	7.686572	2.947424	193097	925880.8	7.723949	2.96515	203458	992590.1	7.772701	2.979999	215694	1067434	7.830933	2.994922	222626	1140226	7.892086	3.00992	226246	1206465	7.947209	3.024993	238086	1266280	7.990121	3.040141	246853	1308685	8.017863	3.055366	251125	1335529	8.032876	3.070666	266785	1324892	8.04105	3.086043	282405	1314043	8.051113	3.101498	293144	1295631	8.069276	3.117029	309128	1281770	8.097748	3.133231	302952	1248427	8.134412	3.149517	310776	1204511	8.175852	3.165887	315681	1232564	8.216805	3.182343	328548	1267787	8.25365	3.198884	350025	1303562	8.285343	3.215511	363750	1423074	8.313737	3.232225	375681	1527605	8.341532	3.249025	379209	1680925	8.372663	3.265913	372226	1866903	8.409949	3.282888	379240	1974955	8.453501	3.293652	390618	2107997	8.502227	3.304452	397384	2366320	8.556189	3.315287	392753	2448908	8.615214	3.326157	410363	2550436	8.67866	3.337063	428540	2696989	8.747301	3.348005	437948	2797338	8.819901	3.358983	458232	2802257	8.891388	3.369997	470542	2835065	8.955102	3.381046	478329	2875460
"BDI"	"Burundi"	"Sub-Saharan Africa"																																									2.7811595	1.095495	1920	5961.864	2.8589499	1.095495	1679	5860.956	2.9258875	1.095495	1854	5811.216	2.9718643	1.095495	1908	5734.494	3.0512557	1.095495	1939	5654.894	3.1320866	1.095495	2006	5589.01	3.2140344	1.095495	2084	5570.946	3.2904722	1.095495	2355	5564.774	3.3594094	1.095495	2377	5592.73	3.4180563	1.095495	2282	5622.848	3.479074	1.095495	2734	5587.787	3.529997	1.095634	2842	5687.392	3.569666	1.095774	2542	5603.102	3.605126	1.095914	2753	5606.938	3.646431	1.096054	2765	5740.165	3.70088	1.096193	2731	5780.411	3.770871	1.096333	3015	5912.583	3.854445	1.096473	3444	6211.798	3.949266	1.096613	3481	6564.948	4.051234	1.096753	3534	6950.44	4.157298	1.096893	3639	7289.992	4.26652	1.100579	3887	7765.291	4.379724	1.104277	3849	8234.66	4.497533	1.107988	3945	8729.027	4.621103	1.111712	4025	9289.734	4.750837	1.115448	4376	9790.794	4.886743	1.119197	4627	10280.27	5.027138	1.122958	4644	10721.63	5.168698	1.126731	5038	10883.74	5.307069	1.130518	4896	11110.64	5.438957	1.134317	5186	11077.36	5.564926	1.141326	5445	10978.92	5.685565	1.148379	5315	10993.07	5.798053	1.155475	4976	11089.42	5.898967	1.162616	5061	11001.1	5.987043	1.1698	4640	10889.89	6.060111	1.177029	4308	10873.54	6.12213	1.184302	4206	10877.14	6.185562	1.19162	4634	10953.51	6.267124	1.198984	4671	11386.34	6.378871	1.206393	4491	11405.49	6.525545	1.21525	4570	11534.14	6.704113	1.224173	4809	11698.93	6.909154	1.233161	5082	12211.42	7.131693	1.242215	5370	12891.66	7.364862	1.251336	5369	13416.5	7.607849	1.260523	5595	13718.32	7.862214	1.269778	5737	13726.36	8.126102	1.279101	6076	13707.22	8.397668	1.288492	6172	13892.46	8.675602	1.297953	6556	14188.48	8.958406	1.310621	7185	14417.87	9.245988	1.323414	7359	13180.73	9.540291	1.336331	8172	12689.83	9.844299	1.349375	8593	13673.98	10.16003	1.362545	8605	14103.9	10.487995	1.375844	8993	16071.96	10.827019	1.389273	8946	17445.46	11.175374	1.402834	9048	18111.23	11.53058	1.416526	9166	18806.58
"BEL"	"Belgium"	"Europe & Central Asia"	8.634331	2.203547	73079	388744.4	8.673325	2.219054	75181	396413.1	8.7253138	2.23467	77680	404938.1	8.7727543	2.250396	81066	413281.9	8.8142368	2.266232	84605	424546	8.8633034	2.282181	87987	434797.9	8.9186414	2.287193	90628	448948.7	8.983869	2.292217	91900	461302.3	9.0474277	2.297252	92134	468426.2	9.0984205	2.302298	95047	480001.8	9.1133825	2.307354	94903	493083.3	9.1604551	2.308829	100462	510327	9.2130244	2.310304	109010	528789.3	9.2776868	2.31178	113975	546129.6	9.3615373	2.313257	121865	570719.4	9.4425905	2.314736	126370	593424.6	9.5022557	2.323425	131137	618952.4	9.5509276	2.332147	136990	643156.5	9.5842077	2.340902	143709	666524.1	9.6070949	2.349689	153087	694188	9.63218	2.35851	162640	726825.6	9.663324	2.374488	169562	760295.3	9.692846	2.390574	180456	793677.7	9.720761	2.406769	192112	835806.4	9.74702	2.423074	193779	880167.2	9.771586	2.439489	192319	917487.4	9.794777	2.465548	205448	943647.5	9.816696	2.491885	207103	956756	9.836814	2.518503	215356	966578.3	9.854377	2.545406	220391	981310.7	9.868995	2.568468	228897	1001993	9.880592	2.587121	215931	999610.1	9.889824	2.605911	211064	989098.8	9.89788	2.624837	207055	965413.6	9.906371	2.6439	206883	952543.3	9.916578	2.663102	201763	953831.8	9.928542	2.681829	212104	962984.7	9.942289	2.700687	221271	982614.3	9.95902	2.719678	238527	1024913	9.980176	2.738803	245841	1081579	10.006544	2.758062	252589	1150536	10.039445	2.783883	260084	1221815	10.078101	2.809946	271752	1291906	10.118674	2.836253	269716	1357554	10.155919	2.862807	281016	1413080	10.186305	2.889609	288263	1461672	10.208275	2.90622	285126	1477642	10.223789	2.922927	306847	1465550	10.237299	2.939731	323949	1467956	10.25516	2.95663	340208	1498191	10.282033	2.973627	364391	1495075	10.319019	2.992419	365118	1511627	10.364885	3.011329	376775	1467405	10.419032	3.03036	384173	1520313	10.480117	3.04951	393030	1587221	10.546886	3.068781	413964	1684541	10.619475	3.073569	416269	1895297	10.697572	3.078365	426688	2072114	10.778758	3.083168	435307	2321676	10.85994	3.087979	444295	2542663	10.938739	3.092797	469020	2837391	11.013853	3.098995	456544	2881893	11.085358	3.105206	459694	3198966	11.154009	3.11143	460706	3244034	11.221231	3.117666	458586	3208622	11.28794	3.123914	482211	3290150	11.35442	3.130176	501003	3400538	11.419748	3.136449	515604	3383567	11.482178	3.142735	510223	3436160	11.539328	3.149034	523689	3496175
"BEN"	"Benin"	"Sub-Saharan Africa"																																					2.2346204	1.063246	3371	2721.792	2.2845561	1.0652	3687	3038.913	2.3365407	1.069248	3786	3335.514	2.3921783	1.073313	3712	3616	2.4487396	1.077392	3922	3921.017	2.5076409	1.081487	4141	4164.575	2.5687312	1.085598	4513	4371.026	2.6323592	1.086016	4668	4588.283	2.6983732	1.086435	4896	4941.495	2.7668769	1.086854	5316	5327.881	2.8382513	1.087272	5538	5722.766	2.91234	1.087691	6089	6074.75	2.976572	1.088046	6237	6421.93	3.043567	1.088401	6531	6961.51	3.113675	1.088756	6960	7367.602	3.187412	1.089111	7471	7832.96	3.265165	1.089466	6372	8252.967	3.347173	1.089781	6838	8476.724	3.433439	1.090095	7085	8669.602	3.523938	1.090409	6878	8806.408	3.618526	1.090723	7162	9253.651	3.717165	1.091038	7671	9740.75	3.820128	1.104036	9738	10212.3	3.927714	1.11719	7085	11095.2	4.039949	1.1305	6977	11308.21	4.156819	1.143969	7382	11377.82	4.278501	1.157598	8243	11309.8	4.404506	1.174117	7283	11528.43	4.535263	1.190872	6768	12105.8	4.672852	1.207866	6987	12885.71	4.820016	1.225102	6347	13998.29	4.978496	1.242585	6599	15630.44	5.149499	1.260309	6989	17748.59	5.331803	1.278286	7156	20493.34	5.521763	1.296519	7365	23885.48	5.71422	1.315012	6901	27595.54	5.905558	1.333769	7653	31169.04	6.094259	1.348729	8045	33368.44	6.281639	1.363857	8867	34640.75	6.470265	1.379154	9293	35963.22	6.664098	1.394622	10197	37280.26	6.865951	1.410265	11353	38568.08	7.076733	1.423522	12194	40374.05	7.295394	1.436904	13535	42118.21	7.520555	1.450413	14464	44047.38	7.750004	1.464048	15496	45823	7.982225	1.477811	16429	47611.06	8.216897	1.493184	16847	49375.29	8.454793	1.508717	17952	51840.2	8.696921	1.524411	18484	54668.82	8.944708	1.540269	18596	57746.62	9.199259	1.556291	19151	60880.21	9.460831	1.599606	20475	63203.62	9.729249	1.644126	23051	62226.17	10.004591	1.689886	25575	66340.56	10.286844	1.73004	28954	67093.83	10.575952	1.76621	32398	69432.88	10.872063	1.803136	34328	72821.15	11.175198	1.840833	34319	74870.34	11.485044	1.879319	35865	81024.51	11.801151	1.91861	38398	88006.94
