year	iso_o	iso_d	distw	contig	scaled_sci_2021	comlang_ethno	comleg_posttrans	comrelig	gdp_o	gdp_d	entry_tp_o	entry_tp_d	value	rta
2019	"ABW"	"AGO"	9572	0	1344	0	1	.60666	3310056	6.93e+07		44	10.044	0
2019	"ABW"	"AIA"	978	0		1	0		3310056				5.088	0
2019	"ABW"	"ARE"	12772	0	3998	0	0	.00368	3310056	4.17e+08		5.8	889.712	0
2019	"ABW"	"ATG"	1016	0	165086	1	0	.12148	3310056	1687533		28	2.045	0
2019	"ABW"	"AUT"	8716	0	3596	0	0	.76888	3310056	4.45e+08		29	174.145	0
2019	"ABW"	"BEL"	7852	0	18170	1	1	.77432	3310056	5.35e+08		10	295.102	0
2019	"ABW"	"BFA"	7349	0	955	0	1	.07868	3310056	1.62e+07		16	.079	0
2019	"ABW"	"BGR"	9429	0	2103	0	0	.00462	3310056	6.89e+07		30	.188	0
2019	"ABW"	"BHR"	12303	0	4992	0	0	.0076	3310056	3.87e+07		14.3	3.938	0
2019	"ABW"	"BHS"	1586	0	58787	1	0	.25706	3310056	1.32e+07		18.5	496.731	0
2019	"ABW"	"BMU"	2254	0		1	0	.18156	3310056	7423465			9.515	0
2019	"ABW"	"BOL"	3325	0	3350	0	1	.79734	3310056	4.09e+07		51.5	.07	0
2019	"ABW"	"BRB"	1132	0	63420	1	0	.0773	3310056	5304164		23	43.171	0
2019	"ABW"	"CAN"	4085	0	10925	1	0	.42444	3310056	1.74e+09		3.5	851.885	0
2019	"ABW"	"CHE"	8061	0	10369	0	0	.48864	3310056	7.32e+08		16	807.612	0
2019	"ABW"	"CHL"	5055	0	34403	0	1	.70758	3310056	2.79e+08		10	1.15	0
2019	"ABW"	"CHN"	14921	0		0	0	0	3310056	1.43e+10		13.5	55.72	0
2019	"ABW"	"CMR"	8899	0	1579	1	1	.31548	3310056	3.97e+07		19.5	.024	0
2019	"ABW"	"COD"	10112	0	842	0	1	.43944	3310056	5.18e+07		11	88.469	0
2019	"ABW"	"COL"	857	0	125638	0	1	.83148	3310056	3.23e+08		17	653.376	0
2019	"ABW"	"CRI"	1563	0	25317	0	1	.78294	3310056	6.44e+07		33	1.42	0
2019	"ABW"	"CUW"	128	0	20211410		0		3310056	2995185			13032.77	0
2019	"ABW"	"CZE"	8594	0	1397	0	0	.3408	3310056	2.52e+08		33.5	.785	0
2019	"ABW"	"DEU"	8239	0	4100	0	0	.33812	3310056	3.89e+09		17	142.313	0
2019	"ABW"	"DMA"	983	0		1	0	.77892	3310056	611537		17	3.942	0
2019	"ABW"	"DNK"	8403	0	2234	0	0	.08132	3310056	3.48e+08		8.5	10.115	0
2019	"ABW"	"DOM"	677	0	230182	0	1	.83188	3310056	8.89e+07		23.5	13562.86	0
2019	"ABW"	"ECU"	1848	0	31603	0	1	.83056	3310056	1.08e+08		59.5	48.316	0
2019	"ABW"	"ESP"	7253	0	20032	0	1	.83342	3310056	1.39e+09		19.5	107.502	0
2019	"ABW"	"FIN"	9062	0	1740	0	0	.07534	3310056	2.69e+08		16	.011	0
2019	"ABW"	"FRA"	7720	0	2971	0	1	.65896	3310056	2.73e+09		9	169.574	0
2019	"ABW"	"FRO"	7402	0		0	1	.0807	3310056	3268840			2.4	0
2019	"ABW"	"GBR"	7462	0	5303	1	0	.12554	3310056	2.88e+09		8.5	107.081	0
2019	"ABW"	"GHA"	7590	0	2644	1	0	.18146	3310056	6.83e+07		21	48.873	0
2019	"ABW"	"GIN"	6158	0	1133	0	1	.00954	3310056	1.34e+07		21	82.524	0
2019	"ABW"	"GRC"	9465	0	2200	0	1	.00352	3310056	2.05e+08		7	3.404	0
2019	"ABW"	"GRD"	902	0	325801	1	0	.5644	3310056	1213485		18	20.203	0
2019	"ABW"	"GUY"	1448	0	129144	1	0	.1692	3310056	5173760		25	425.726	0
2019	"ABW"	"HKG"	16127	0	2745	1	0	.07394	3310056	3.63e+08		3.5	297.864	0
2019	"ABW"	"HND"	1907	0	4514	0	1	.82596	3310056	2.51e+07		53	156.42	0
2019	"ABW"	"IDN"	18991	0	376	0	1	.02706	3310056	1.12e+09		23.6	74.304	0
2019	"ABW"	"IND"	14888	0	495	1	0	.01206	3310056	2.83e+09		27.5	390	0
2019	"ABW"	"IRL"	7167	0	3517	1	0	.82046	3310056	3.99e+08		14	.122	0
2019	"ABW"	"ITA"	8393	0	4098	0	1	.71584	3310056	2.01e+09		18	187.132	0
2019	"ABW"	"JAM"	946	0	128340	1	0	.12696	3310056	1.58e+07		5	49.668	0
2019	"ABW"	"JOR"	10742	0	883	1	1	.01486	3310056	4.45e+07		19.5	5078.028	0
2019	"ABW"	"KNA"	946	0		1	0	.11212	3310056	1164878		25.5	.672	0
2019	"ABW"	"KOR"	14254	0	436	1	0	.0433	3310056	1.65e+09		11	16	0
2019	"ABW"	"KWT"	11918	0	3305	1	1	.01814	3310056	1.36e+08		24.4	42.573	0
2019	"ABW"	"LBN"	10632	0	6680	1	1	.31212	3310056	5.16e+07		23	12.202	0
2019	"ABW"	"LCA"	993	0	114714	1	0	.76442	3310056	2118792		16	2.087	0
2019	"ABW"	"LKA"	16060	0	596	0	0	.0588	3310056	8.39e+07		15	.108	0
2019	"ABW"	"MEX"	3343	0	3409	0	1	.81538	3310056	1.27e+09		16.4	2110.46	0
2019	"ABW"	"MNE"	9024	0	6948	0	1		3310056	5542201		20	.106	0
2019	"ABW"	"MNG"	13304	0	430	0	0	0	3310056	1.42e+07		20	.099	0
2019	"ABW"	"MOZ"	11978	0	919	0	1	.27548	3310056	1.54e+07		27	26.916	0
2019	"ABW"	"MSR"	965	0		1	0		3310056				.492	0
2019	"ABW"	"MUS"	14385	0	4346	1	1	.26904	3310056	1.40e+07		8.5	5.952	0
2019	"ABW"	"MYS"	18043	0	632	0	0	.0252	3310056	3.65e+08		25.5	50483.65	0
2019	"ABW"	"NER"	7966	0	944	0	1	.00172	3310056	1.29e+07		14	1.59	0
2019	"ABW"	"NGA"	8309	0	1440	1	0	.1167	3310056	4.48e+08		14.2	15.59	0
2019	"ABW"	"NLD"	7879	0	707901	1	1	.40028	3310056	9.10e+08		7.5	5343.002	0
2019	"ABW"	"NOR"	8296	0	3647	0	0	.08082	3310056	4.05e+08		8	24.062	0
2019	"ABW"	"NPL"	14800	0	261	0	0	0	3310056	3.42e+07		30.5	.672	0
2019	"ABW"	"NZL"	13081	0	2726	1	0	.19114	3310056	2.13e+08		1.5	.904	0
2019	"ABW"	"PAK"	13754	0	675	1	0	.00494	3310056	3.21e+08		21.5	216.497	0
2019	"ABW"	"PER"	2742	0	27511	0	1	.82002	3310056	2.28e+08		34	27.104	0
2019	"ABW"	"PHL"	16897	0	5403	1	1	.7263	3310056	3.77e+08		46	.157	0
2019	"ABW"	"POL"	8866	0	746	0	0	.69668	3310056	5.97e+08		42	.315	0
2019	"ABW"	"PRT"	6657	0	6779	0	1	.81014	3310056	2.40e+08		12.5	1.376	0
2019	"ABW"	"RUS"	10517	0		0	1	.01204	3310056	1.69e+09		14.1	.526	0
2019	"ABW"	"RWA"	11160	0	676	1	1	.48744	3310056	1.04e+07		9	.073	0
2019	"ABW"	"SAU"	11748	0	1943	0	0	.00094	3310056	8.04e+08		13.4	281.477	0
