countrycode,year,rgdpo,pop,hc,cn,region
ABW,1950,,,,,Latin America & Caribbean
ABW,1951,,,,,Latin America & Caribbean
ABW,1952,,,,,Latin America & Caribbean
ABW,1953,,,,,Latin America & Caribbean
ABW,1954,,,,,Latin America & Caribbean
ABW,1955,,,,,Latin America & Caribbean
ABW,1956,,,,,Latin America & Caribbean
ABW,1957,,,,,Latin America & Caribbean
ABW,1958,,,,,Latin America & Caribbean
ABW,1959,,,,,Latin America & Caribbean
ABW,1960,,,,,Latin America & Caribbean
ABW,1961,,,,,Latin America & Caribbean
ABW,1962,,,,,Latin America & Caribbean
ABW,1963,,,,,Latin America & Caribbean
ABW,1964,,,,,Latin America & Caribbean
ABW,1965,,,,,Latin America & Caribbean
ABW,1966,,,,,Latin America & Caribbean
ABW,1967,,,,,Latin America & Caribbean
ABW,1968,,,,,Latin America & Caribbean
ABW,1969,,,,,Latin America & Caribbean
ABW,1970,463.30411,.059063,,1313.0934,Latin America & Caribbean
ABW,1971,504.68433,.05944,,1440.5415,Latin America & Caribbean
ABW,1972,550.48865,.05984,,1580.7432,Latin America & Caribbean
ABW,1973,599.46265,.060243,,1732.0092,Latin America & Caribbean
ABW,1974,652.47614,.060528,,1902.4548,Latin America & Caribbean
ABW,1975,712.04633,.060657,,2084.9194,Latin America & Caribbean
ABW,1976,776.67938,.060586,,2278.6514,Latin America & Caribbean
ABW,1977,849.01978,.060366,,2494.0735,Latin America & Caribbean
ABW,1978,924.47681,.060103,,2724.6519,Latin America & Caribbean
ABW,1979,1006.4696,.05998,,2983.3425,Latin America & Caribbean
ABW,1980,1097.3193,.060096,,3263.031,Latin America & Caribbean
ABW,1981,1197.6456,.060567,,3584.2671,Latin America & Caribbean
ABW,1982,1306.7083,.061345,,3928.5679,Latin America & Caribbean
ABW,1983,1425.2816,.062201,,4278.7368,Latin America & Caribbean
ABW,1984,1555.4169,.062836,,4671.8843,Latin America & Caribbean
ABW,1985,1692.1865,.063026,,5117.1055,Latin America & Caribbean
ABW,1986,1848.2247,.062644,,5592.875,Latin America & Caribbean
ABW,1987,2143.8806,.061833,,6155.5439,Latin America & Caribbean
ABW,1988,2543.2529,.061079,,6851.0806,Latin America & Caribbean
ABW,1989,2657.2437,.061032,,7645.8574,Latin America & Caribbean
ABW,1990,3012.5117,.062149,,8407.9424,Latin America & Caribbean
ABW,1991,3177.4575,.064622,,9223.2217,Latin America & Caribbean
ABW,1992,3370.5376,.068235,,10109.283,Latin America & Caribbean
ABW,1993,3698.5325,.072504,,11047.238,Latin America & Caribbean
ABW,1994,4172.8242,.0767,,12078.263,Latin America & Caribbean
ABW,1995,4184.1563,.080324,,13159.661,Latin America & Caribbean
ABW,1996,3977.093,.0832,,14112.39,Latin America & Caribbean
ABW,1997,4282.0103,.085451,,15278.196,Latin America & Caribbean
ABW,1998,4660.5771,.087277,,16680.453,Latin America & Caribbean
ABW,1999,4854.1509,.089005,,17997.326,Latin America & Caribbean
ABW,2000,4129.5127,.090853,,18856.412,Latin America & Caribbean
ABW,2001,4728.4531,.092898,,19783.586,Latin America & Caribbean
ABW,2002,3555.2612,.094992,,20915.602,Latin America & Caribbean
ABW,2003,3701.9836,.097017,,22329.816,Latin America & Caribbean
ABW,2004,4227.812,.098737,,23898.25,Latin America & Caribbean
